Cavity,Gradient,JT Valve Position,Start,End,Reference Heat Load (Des),Reference Heat Load (Act),MySampler Time Interval
8,16,31.5,07/09/19 17:29:00,07/09/19 18:41:00,48,48.78361,1
7,15.2,31.5,07/09/19 19:47:44,07/09/19 21:08:10,48,48.78361,1
6,16,31.5,07/09/19 21:49:17,07/09/19 23:00:18,48,48.78361,1
5,16,31.9,07/10/19 16:47:02,07/10/19 18:15:30,48,48.62917,1
4,16,31.9,07/10/19 18:40:09,07/10/19 20:06:25,48,48.62917,1
2,14.5,31.9,07/10/19 20:23:45,07/10/19 21:49:10,48,48.62917,1
3,14.8,31.9,07/10/19 22:02:54,07/10/19 23:26:58,48,48.62917,1
1,14.9,51.2,07/12/19 14:57:33,07/12/19 16:29:12,64,64.59786,1
2,14.5,51.2,07/12/19 16:54:38,07/12/19 18:00:13,64,64.59786,1
3,14.7,51.2,07/12/19 19:04:34,07/12/19 19:44:22,64,64.59786,1
8,16,51.2,07/12/19 19:58:10,07/12/19 20:45:35,64,64.59786,1
7,15.3,47,07/15/19 15:51:14,07/15/19 16:47:15,48,48.63281,1
1,13,46.8,07/16/19 18:31:36,07/16/19 19:25:57,48,48.58146,1
1,13,47,07/17/19 17:17:12,07/17/19 18:15:19,48,48.86997,1
1,13,47,07/17/19 18:36:05,07/17/19 19:23:45,48,48.86997,1
1,13,47.1,07/17/19 20:02:16,07/17/19 20:58:49,48,48.86997,1
1,13,47,07/17/19 21:11:31,07/17/19 21:59:38,48,48.86997,1
1,13,47,07/17/19 22:14:49,07/17/19 23:07:55,48,48.86997,1
6,16,46.9,07/18/19 18:08:00,07/18/19 19:04:00,48,48.90667,1
6,16,49.4,07/18/19 19:20:33,07/18/19 20:42:29,48,48.90667,1
6,16,49.4,07/18/19 20:52:01,07/18/19 22:09:26,48,48.90667,1
6,16,49.4,07/18/19 22:21:15,07/18/19 23:17:09,48,48.90667,1
2,14.5,40.4,08/02/19 12:58:00,08/02/19 13:44:17,32.0,30.942060000000001,1
2,14.5,40.4,08/02/19 14:22:02,08/02/19 15:10:47,32.0,30.942060000000001,1
2,14.5,40.4,08/02/19 15:39:41,08/02/19 16:30:34,32.0,30.942060000000001,1
5,19.0,40.4,08/02/19 17:17:48,08/02/19 17:52:08,32.0,30.942060000000001,1
5,19.0,40.4,08/02/19 18:12:47,08/02/19 19:15:49,32.0,30.942060000000001,1
1,14.9,40.9,08/06/19 09:22:03,08/06/19 10:12:56,32.0,32.908930000000005,1
1,14.9,40.9,08/06/19 10:30:20,08/06/19 11:17:30,32.0,32.908930000000005,1
3,14.8,40.9,08/06/19 11:31:01,08/06/19 12:21:22,32.0,32.908930000000005,1
3,14.8,40.9,08/06/19 12:38:58,08/06/19 13:41:29,32.0,32.908930000000005,1
5,16.0,40.9,08/06/19 14:16:26,08/06/19 14:56:32,32.0,32.908930000000005,1
5,16.0,40.9,08/06/19 15:11:34,08/06/19 15:56:28,32.0,32.908930000000005,1
6,16.0,40.9,08/06/19 16:11:06,08/06/19 16:57:14,32.0,32.908930000000005,1
6,16.0,40.9,08/06/19 17:12:20,08/06/19 17:54:41,32.0,32.908930000000005,1
6,20.0,40.9,08/06/19 18:06:42,08/06/19 18:43:16,32.0,32.908930000000005,1
6,20.0,40.9,08/06/19 18:54:34,08/06/19 19:27:45,32.0,32.908930000000005,1
7,16.3,40.9,08/06/19 19:38:17,08/06/19 20:17:36,32.0,32.908930000000005,1
7,16.3,40.9,08/06/19 20:30:36,08/06/19 21:11:13,32.0,32.908930000000005,1
6,18.0,40.9,08/06/19 21:20:47,08/06/19 22:02:15,32.0,32.908930000000005,1
6,18.0,40.9,08/06/19 22:14:35,08/06/19 22:55:25,32.0,32.908930000000005,1
6,18.0,40.9,08/06/19 23:10:34,08/06/19 23:49:17,32.0,32.908930000000005,1
3,14.8,41.0,08/07/19 18:30:13,08/07/19 19:19:53,32.0,33.026600000000009,1
3,14.8,41.0,08/07/19 20:24:45,08/07/19 21:10:59,32.0,33.026600000000009,1
3,14.8,41.0,08/07/19 21:48:00,08/07/19 22:35:36,32.0,33.026600000000009,1
3,14.8,41.0,08/07/19 22:48:57,08/07/19 23:32:56,32.0,33.026600000000009,1
2,14.5,41.0,08/08/19 17:31:52,08/08/19 18:21:04,32.0,33.056529999999995,1
2,14.5,41.0,08/08/19 18:43:25,08/08/19 19:38:26,32.0,33.056529999999995,1
2,14.5,41.0,08/08/19 19:55:12,08/08/19 20:43:03,32.0,33.056529999999995,1
2,14.5,41.0,08/08/19 20:59:16,08/08/19 21:49:44,32.0,33.056529999999995,1
2,14.5,41.0,08/08/19 22:08:35,08/08/19 23:02:37,32.0,33.056529999999995,1
2,14.5,41.0,08/08/19 23:14:09,08/09/19 00:02:26,32.0,33.056529999999995,1
1,14.9,40.8,08/15/19 16:58:32,08/15/19 17:58:17,32.0,31.024920000000002,1
2,14.6,40.8,08/15/19 18:12:45,08/15/19 19:13:17,32.0,31.024920000000002,1
3,18.3,40.8,08/15/19 19:27:13,08/15/19 20:09:35,32.0,31.024920000000002,1
4,20.0,40.8,08/15/19 20:21:52,08/15/19 21:03:59,32.0,31.024920000000002,1
5,21.0,40.8,08/15/19 21:16:09,08/15/19 21:50:57,32.0,31.024920000000002,1
6,21.0,40.8,08/15/19 22:04:36,08/15/19 22:38:42,32.0,31.024920000000002,1
7,15.3,40.8,08/15/19 22:49:28,08/15/19 23:37:24,32.0,31.024920000000002,1
8,17.0,40.4,08/16/19 09:23:52,08/16/19 10:10:15,32.0,32.784389999999988,1
