Cavity,Gradient,Q0,Calibration,Q0 Measurement,Calibration Cutoffs,Q0 Cutoffs
4,16.0,2.97e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-08-12 16:56:37 to 2019-08-12 17:58:00 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,207 | 129
4,16.0,2.98e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-08-12 18:18:16 to 2019-08-12 19:13:58 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,205 | 129
4,18.0,2.77e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-08-12 19:32:41 to 2019-08-12 20:24:44 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,270 | 66
4,18.0,2.93e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-08-12 20:42:15 to 2019-08-12 21:29:58 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,270 | 66
4,20.0,2.68e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-08-12 21:47:47 to 2019-08-12 22:33:06 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,341 | 0
4,20.0,2.77e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-08-12 22:48:17 to 2019-08-12 23:33:11 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,344 | 0
4,16.0,2.97e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-08-12 16:56:37 to 2019-08-12 17:58:00 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,207 | 129
4,16.0,2.98e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-08-12 18:18:16 to 2019-08-12 19:13:58 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,205 | 129
4,18.0,2.77e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-08-12 19:32:41 to 2019-08-12 20:24:44 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,270 | 66
4,18.0,2.93e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-08-12 20:42:15 to 2019-08-12 21:29:58 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,270 | 66
4,20.0,2.68e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-08-12 21:47:47 to 2019-08-12 22:33:06 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,341 | 0
4,20.0,2.77e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-08-12 22:48:17 to 2019-08-12 23:33:11 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,344 | 0
1,19.9,3.14e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-08-16 10:44:33 to 2019-08-16 11:30:35 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,335 | 0
1,16.0,1.12e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-04-03 22:24:00 to 2019-04-03 23:54:00 (5s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,221 | 0
2,16.0,2.02e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-04-04 17:34:00 to 2019-04-04 19:04:00 (5s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,213 | 9
1,16.0,3.52e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-08-29 19:12:13 to 2019-08-29 20:37:49 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,209 | 129
2,16.0,2.84e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-08-29 20:55:35 to 2019-08-29 21:52:44 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,209 | 130
3,16.0,2.67e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-08-29 22:16:19 to 2019-08-29 23:16:17 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,217 | 129
4,16.0,2.97e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-08-30 11:03:40 to 2019-08-30 12:02:13 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,209 | 129
5,16.0,2.53e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-08-30 12:25:35 to 2019-08-30 13:14:30 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,208 | 130
6,8.0,1.43e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-08-30 15:01:09 to 2019-08-30 16:27:26 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,29 | 310
7,16.0,2.60e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-08-30 16:52:22 to 2019-08-30 17:46:11 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,209 | 129
8,16.0,2.00e+10,2019-08-09 17:49:00 to 2019-08-09 23:37:00 (1s sample interval),2019-08-30 18:02:17 to 2019-08-30 18:51:34 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 10 | 10,208 | 129
